prefecture_name_ja,bud_count_per_m2,bud_official_comparison_percent,sugi_pollen_total_per_cm2,pollen_observation_site,bud_source_url,pollen_source_url,pollen_as_of
北海道,3340,328,51.0,札幌市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
青森県,2651,44,20058.0,弘前市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
岩手県,2986,49,21530.5,大船渡市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
山形県,6860,229,12100.5,山形市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
栃木県,7857,185,6268.6,壬生町,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
埼玉県,5527,89,5323.5,さいたま市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
東京都,4938,87,3510.9,千代田区,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
神奈川県,11074,119,5767.2,横浜市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
石川県,5149,69,5646.0,小松市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
福井県,6275,77,3232.9,永平寺町,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
山梨県,6608,135,3217.7,甲府市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
岐阜県,6699,136,5062.0,大垣市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
静岡県,9816,215,8057.9,静岡市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
三重県,11518,150,6972.3,津市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
滋賀県,9970,93,1916.8,大津市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
京都府,12090,272,2245.0,京都市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
大阪府,16925,315,1105.0,泉佐野市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
兵庫県,2223,102,2497.6,西宮市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
奈良県,8631,312,1682.0,奈良市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
鳥取県,10336,202,1901.1,米子市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
広島県,3560,84,1314.9,尾道市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
山口県,4491,60,2386.8,宇部市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
香川県,4298,66,672.8,三木町,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
愛媛県,11893,165,1394.7,今治市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
福岡県,2823,128,2656.1,福岡市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
熊本県,1531,125,2214.5,八代市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
宮崎県,2186,77,4466.5,宮崎市,https://www.env.go.jp/content/000365031.pdf,https://www.env.go.jp/content/000374236.pdf,2026-06-19
