prefecture_code,prefecture_name_ja,survey_year,observation_count_per_m2,baseline_average_count_per_m2,official_comparison_percent,baseline_note,source_url,source_page,source_section,published_date,retrieved_at,publisher,rights_note
01,北海道,2025,3340,1019,328,1-year average,https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
02,青森県,2025,2651,5973,44,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
03,岩手県,2025,2986,6083,49,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
04,宮城県,2025,1344,1270,106,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
05,秋田県,2025,4057,4782,85,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
06,山形県,2025,6860,2990,229,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
07,福島県,2025,5965,7049,85,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
08,茨城県,2025,4649,5495,85,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
09,栃木県,2025,7857,4249,185,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
10,群馬県,2025,8965,6627,135,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
