prefecture_code,prefecture_name_ja,survey_year,observation_count_per_m2,baseline_average_count_per_m2,official_comparison_percent,baseline_note,source_url,source_page,source_section,published_date,retrieved_at,publisher
02,青森県,2023,4289,7416,58,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
03,岩手県,2023,9097,5628,162,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
04,宮城県,2023,1248,1556,80,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
05,秋田県,2023,3089,4998,62,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
06,山形県,2023,1145,3796,30,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
07,福島県,2023,7643,6861,111,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
08,茨城県,2023,2028,6491,31,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
09,栃木県,2023,3393,4365,78,9-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
10,群馬県,2023,4613,6639,69,9-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
11,埼玉県,2023,6478,5628,115,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
12,千葉県,2023,5542,5676,98,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
13,東京都,2023,6383,5378,119,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
14,神奈川県,2023,7793,8146,96,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
15,新潟県,2023,7679,7420,103,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
16,富山県,2023,6493,6311,103,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
17,石川県,2023,5947,7354,81,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
18,福井県,2023,6893,7506,92,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
19,山梨県,2023,4245,,,new observation; no historical baseline,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
22,静岡県,2023,2608,4029,65,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
23,愛知県,2023,7601,4381,173,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
26,京都府,2023,1978,3107,64,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
27,大阪府,2023,4083,3943,104,1-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
28,兵庫県,2023,2625,2021,130,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
29,奈良県,2023,1414,2159,65,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
31,鳥取県,2023,4759,4361,109,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
32,島根県,2023,6742,4148,163,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
33,岡山県,2023,4465,4877,92,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
34,広島県,2023,2627,4039,65,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
35,山口県,2023,4194,7465,56,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
36,徳島県,2023,3628,8729,42,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
37,香川県,2023,4319,6401,67,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
38,愛媛県,2023,5732,6903,83,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
39,高知県,2023,2998,6685,45,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
40,福岡県,2023,1718,1984,87,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
44,大分県,2023,2183,2414,90,10-year average,https://www.env.go.jp/content/000184013.pdf,1,資料,2023-12-22,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
